catid,name,display_name
11044258,Electronics,Elektronik
11043451,Food & Beverages,Makanan & Minuman
11044364,Computer & Accessories,Komputer & Aksesoris
11043145,Beauty & Care,Perawatan & Kecantikan
11044458,Mobile & Accessories,Handphone & Aksesoris
11043778,Home & Living,Perlengkapan Rumah
11042849,Men Clothes,Pakaian Pria
11042745,Women Clothes,Pakaian Wanita
11042985,Men Shoes,Sepatu Pria
11042684,Muslim Fashion,Fashion Muslim
11043011,Men Bags,Tas Pria
11043031,Baby & Kids Fashion,Fashion Bayi & Anak
11042921,Fashion Accessories,Aksesoris Fashion
11043350,Mom & Baby,Ibu & Bayi
11042900,Watches,Jam Tangan
11042604,Women Shoes,Sepatu Wanita
11043279,Health,Kesehatan
11042642,Women Bags,Tas Wanita
11043572,Hobby & Collection,Hobi & Koleksi
11043660,Automotive,Otomotif
11043958,Sports & Outdoor,Olahraga & Outdoor
11044225,Souvenir & Party Supplies,Souvenir & Pesta
11044123,Stationery & Books,Buku & Alat Tulis
11044588,Photography,Fotografi
